post,is_stress,stress_kind
my career,Yes,Work
my car's started died this week and it cost me a lot of money to fix it.,Yes,Financial Problem
my child,Yes,Family Issues
my child has been misbehaving.,Yes,Family Issues
my child has gotten a real smart mouth,Yes,Family Issues
my child needs help in school and my husband's hours were cut,Yes,Family Issues
"my child was mean to me this morning, he was talking bad words.",Yes,Emotional Turmoil
my child's father is not active in my sons life and i'm struggling!,Yes,Family Issues
my classes have been really stressing me out.,Yes,School
my client's mom cancelled on wednesdays. idk how i will make up the time.,Yes,Work
my co worker has been picking on me,Yes,Work
my college admissions,Yes,School
my college roommate has been making me really anxious,Yes,Social Relationships
My company furloughed me,Yes,Financial Problem
my company is closing and my job is going away.,Yes,Work
"my company is down-sizing and since i am just an assistant, i fear my job is in jeopardy",Yes,Work
my company is selling the buisness and i might be jobless.,Yes,Work
my company may be acquired by another company,Yes,Work
My cousin thinks she might have covid-19,Yes,Family Issues
my coworker and i dont get along at a all,Yes,Work
my co-worker has been talking to me too much; can't get any work done.,Yes,Work
my co-worker is on vacation and i have to do her job this week.,Yes,Work
my coworker is soo annoying and crazy,Yes,Family Issues
my co-workers are driving me nuts!,Yes,Social Relationships
my coworker's inabilty to carry a meaningful conversation,Yes,Emotional Turmoil
my crazy childrens father.,Yes,Emotional Turmoil
my credit card balance are so high.,Yes,Financial Problem
my current job has been stressing me out.,Yes,Work
my current on/off relationship with the person i have been dating for over a year now,Yes,Social Relationships
"my dad injured his hand about a month, 6 weeks ago",Yes,Family Issues
my dad needs surgery next week,Yes,Family Issues
My dad will not stop trying to take all my freedom away :(,Yes,Family Issues
my date,Yes,Social Relationships
my daughter driving test,Yes,Family Issues
my daughter has a boyfriend and was sneaking around and not telling me where she was,Yes,Family Issues
My daughter has been diving me crazy,Yes,Family Issues
my daughter has been having panic attacks,Yes,Family Issues
my daughter is depressed and i have tried everything to help her.,Yes,Family Issues
my daughter is having issues in kindergarten with someone stealing her stuff.,Yes,School
my daughter is spending way too much money and causing me financial stress.,Yes,Financial Problem
my daughter sarah,Yes,Family Issues
"my daughter threw a major tantrum on monday night, screaming and crying",Yes,Family Issues
my daughter turned 5 the first day of kindergarten and i'm afraid she is maturely behind,Yes,Family Issues
my daughter wont pick up after herself even after numerous things taken away from her.,Yes,Family Issues
My daughter's MS diagnosis.,Yes,Family Issues
my daughter's upcoming birthday party that i have to plan for.,Yes,Family Issues
my decision to go back to school,Yes,School
my diet/fasting is stressing me at the moment.,Yes,"Health, Fatigue, or Physical Pain"
my divorce has totally stressed me out.,Yes,Family Issues
"my dog has cancer, and i don't know how i'm going to afford his treatment.",Yes,Financial Problem
my dog has cancer. she's doing okay now but i'm worried about it.,Yes,Emotional Turmoil
my dog has stitches in and she's being crazy,Yes,Family Issues
my dog is missing.,Yes,Emotional Turmoil
My dog is sick and I don't have the money to take him to the vet,Yes,Financial Problem
"my dog just passed away, i am super sad and stressed.",Yes,Family Issues
my dog keeps barking,Yes,Other
my dog keeps me up at night,Yes,Family Issues
my dog of 12 years passed away,Yes,Emotional Turmoil
my dogs have been misbehaving. i am worried that one of the them is sick.,Yes,Emotional Turmoil
my dumbass bf has not been helping me with bills or anything,Yes,Financial Problem
"my entire situation is stressful, try being homeless.",Yes,Other
my ex was getting angry last weekend when i told him not to come for my son's birthday.,Yes,Emotional Turmoil
my ex-husband is nagging me to proceed with the divorce,Yes,Family Issues
"my extended family is coming for dinner, and there will be twenty of them crammed togeth",Yes,Family Issues
my extreme lower back pain,Yes,"Health, Fatigue, or Physical Pain"
my facebook might have been hacked.,Yes,Emotional Turmoil
my family has been stressing me out. i'm ready to come back to campus,Yes,Family Issues
my family in the holidays. absolutely excruciating time of year full of drama.,Yes,Financial Problem
my family is stressing me,Yes,Family Issues
My family life is broken,Yes,Family Issues
my family problems and stressful office work,Yes,Everyday Decision Making
my fiance is in jail,Yes,Family Issues
My finances are stressing me out.,Yes,Financial Problem
my financial choices are unwise and i need to change.,Yes,Financial Problem
my financial situaition is tough this month.,Yes,Financial Problem
my financial situation,Yes,Financial Problem
my financial situation has been stressful. i'm working on keeping myself accountable,Yes,Financial Problem
my financial situation has been very stressful,Yes,Financial Problem
my financial situation has me stressed to the max my friend,Yes,Financial Problem
my financial situation is not getting better.,Yes,Financial Problem
my financial situation is stressing me out.,Yes,Financial Problem
my financial situation was been worrying me. i feel useless.,Yes,Emotional Turmoil
"My financial situation, even before COVID happened, and having 3 autoimmune diseases.",Yes,Financial Problem
"my financial situation, i have bills that are past due.",Yes,Financial Problem
my foster kitten is dying.,Yes,Other
my friend being mad at me,Yes,Social Relationships
My friend has been sick with the flu and they can't afford to get medicine.,Yes,Family Issues
my friend is angry with me . and she did not talking to me.. i can not convence her . it,Yes,Family Issues
my friend was died in road accident,Yes,Family Issues
"my friends death, his service was today.",Yes,Family Issues
My friend's grandparents health is declining,Yes,"Health, Fatigue, or Physical Pain"
"My future, my current state of mind.",Yes,Social Relationships
my garbage disposal just went on the fritz.,Yes,Financial Problem
my girlfriend and i broke up almost a year ago and i'm still not over it.,Yes,Emotional Turmoil
My girlfriend has been bugging me. She's always anxious and it's stressing me out.,Yes,Social Relationships
my girlfriend is concerned i am not earning enough to support our future family.,Yes,Family Issues
my girlfriend just broke up with me,Yes,Emotional Turmoil
My girlfriend moved out today,Yes,Social Relationships
my glasses keep getting smudges wtf,Yes,Emotional Turmoil
my grades and a course that i really cant handle right now.,Yes,School
My graduate level capstone project deadline,Yes,School
My graduate school application have been stressing me out!,Yes,School
my grandmother is sick,Yes,Family Issues
my hair makes me feel unattractive,Yes,Social Relationships
My has is very sick,Yes,Family Issues
my health has really been stressing me out lately!,Yes,"Health, Fatigue, or Physical Pain"
my health isn't so good right now,Yes,"Health, Fatigue, or Physical Pain"
"my health- it seems like every time one thing heals, another thing goes wrong.",Yes,"Health, Fatigue, or Physical Pain"
my health seems to have taken a turn for the worse,Yes,"Health, Fatigue, or Physical Pain"
my home burned before christmas and i have been homeless.,Yes,Financial Problem
My hours at work were cut so I am worried about paying bills,Yes,Financial Problem
My hours have been cut at work.,Yes,Work
my hours were cut back at work,Yes,Work
my house build - i've been continuing to run into issues with the construction manager.,Yes,Other
my husband and i got into a really big fight and now we are not on talking terms,Yes,Emotional Turmoil
"my husband being gone all the time, and dealing with the kids 24/7.",Yes,Family Issues
my husband got laid off from his job.,Yes,Financial Problem
my husband has been acting a little weird.,Yes,Family Issues
my husband has been arrested for a dui,Yes,Family Issues
my husband has been ill.,Yes,"Health, Fatigue, or Physical Pain"
my husband has been so busy lately that we never spend quality time together anymore.,Yes,Family Issues
my husband has been stressed at work because it always gets busier around the holidays.,Yes,Other
My husband is drinking heavily now that he is off work.,Yes,Family Issues
my husband is not well.  he has heart problems and diabetes.,Yes,Family Issues
my husband is stressing me out. he lost his job and he's been home waay to much!!,Yes,Social Relationships
my husband left me i lost my job and can't see my catcher so that has been stressing me.,Yes,Emotional Turmoil
My husband lost his job,Yes,Work
my husband lost his job and we're struggling to stay afloat.,Yes,Financial Problem
my husband not spending time with me. he is always woking andi feel lonely and rejected.,Yes,Family Issues
my husband owes paypal $250 dollars today and  don't know how he is going to pay it!,Yes,Financial Problem
My husband stresses me out. Drinks too much.,Yes,Emotional Turmoil
"my husband went to go to work and our truck was gone, it had been repoed,",Yes,Financial Problem
"My husband works with the person he cheated on me with, how do i handle this?",Yes,Emotional Turmoil
"My husband! Ugh, he won't stop playing video games.",Yes,Family Issues
my husbands affair childs mom,Yes,Family Issues
my husbands affair has left us with a pregnant girl that is  a jerk.,Yes,Family Issues
my husband's hours have been cut at work,Yes,Financial Problem
My husband's work had someone test positive for Coronavirus and they might shut down.,Yes,Financial Problem
my in laws inability to put their electronics away and spend time with their grandchild,Yes,Family Issues
my inability to earn money,Yes,Financial Problem
my income or lack thereof until my job starts.,Yes,Financial Problem
"my job , its killing me , just dont feel stable in it im worried",Yes,Work
my job adds more with with my extra pay stresses me out.,Yes,Work
my job all my boss does is yell at you even when your doing every right,Yes,Work
my job and career,Yes,Work
my job and not taking a vacation and being lonely,Yes,Emotional Turmoil
my job and the clients that i am currently having to interact with.,Yes,Work
my job and the lack of communication in that place.,Yes,Work
my job and the lack of pay is stressing me out,Yes,Work
"my job been very stresfull due to paycheck cuts , and right before holidays",Yes,Financial Problem
My job cut me back to 20hrs with 50% pay. I am fucked.,Yes,Financial Problem
my job has been really stressful with deadlines this week.,Yes,Work
my job has been stressing me out,Yes,Work
my job has been stressing me out a ton lately.,Yes,Work
my job has extended my hours.,Yes,Work
my job has had a ton of drama :(,Yes,Work
my job hunt is going nowhere and i just have so many self doubts,Yes,Work
my job is pushing me to the limit,Yes,Work
my job is stressful with a co-worker who i think is bipolar,Yes,Work
my job is stressing me out,Yes,Work
MY job is stressing me out right now,Yes,Financial Problem
"my job is stressing me out, i am seriously looking for a less stressful work environment",Yes,Work
my job isn't paying me enough to make ends meat.,Yes,Financial Problem
my job it has been full of crazy stuff.,Yes,Work
"my job lost half its funding so hours have been cut. so, paying bills has been hard.",Yes,Financial Problem
My job makes me stressed out and have a little bit of anxiety.,Yes,Work
my job search process. it is so stressful and uncertain.,Yes,Work
my job which is cool and all but it takes time to move up and the pay is lousy..,Yes,Financial Problem
"my job, i'm not sure if i like it",Yes,Work
"my job, my living situation, men.",Yes,Emotional Turmoil
my job. i just wish my boss would give me the money i need.,Yes,Work
my job. it has 0 application for the shit i do for it,Yes,Work
my job's been really stressing me out lately,Yes,Work
"my jobs sucks, it is painful on my body and very low pay.",Yes,Work
my kids and their school and activities schedule.,Yes,Family Issues
my kids are driving me crazy,Yes,Family Issues
my kids are driving me crazy.,Yes,Family Issues
my kids are not listening!,Yes,Family Issues
my kids are stressing me out,Yes,Family Issues
my kids aren't sleeping well at night.,Yes,Family Issues
my kids' behavior recently,Yes,Emotional Turmoil
"my kids constantly need my attention, so trying to get things done has been stressful.",Yes,"Health, Fatigue, or Physical Pain"
my kids see driving me crazy and being bad,Yes,Family Issues
my kids spent too much money at the event today,Yes,Financial Problem
my kids. they never listen. i try so hard to be patient with them because i know its my,Yes,Family Issues
my lack of financial ability.,Yes,Financial Problem
my laptop is down i need it for school,Yes,Work
My last semester of college was cancelled and I am sad.,Yes,School
my lease is ending soon,Yes,Financial Problem
my life in general,Yes,"Health, Fatigue, or Physical Pain"
my life is falling apart.,Yes,Emotional Turmoil
my love life. i can't stop. i won't stop. not sure if this feeling will ever go away.,Yes,Emotional Turmoil
My manager is difficult to deal with.  I am stressed so much.  Help I need my friends ..,Yes,Work
My manager keeps stressing me out a work,Yes,Work
my marriage,Yes,Social Relationships
my marriage has been stressing me out,Yes,Family Issues
My marriage is the pits. So abusive but I don't have a way to get out,Yes,Family Issues
My mom had her cognitive assessment and they think she might have dementia.,Yes,Family Issues
my mom is being annoying,Yes,Family Issues
my mom is causing so many problems.,Yes,Family Issues
my mom is driving me crazy,Yes,Family Issues
my mom is driving my crazy,Yes,Family Issues
my mom is getting kicked out of her assisted living and i have to find a place for her.,Yes,Family Issues
my mom is not leaving me alone,Yes,Emotional Turmoil
"My mom is worried about contracting the coronavirus, I fear going out in public.",Yes,"Health, Fatigue, or Physical Pain"
My mom was taken to the hospital by ambulance yesterday afternoon.,Yes,Family Issues
My mom won't get off my back about having kids.,Yes,Family Issues
my moms spending habits who is on a fixed income. doesnt matter how much i talk to her.,Yes,Financial Problem
my money life has me down,Yes,Financial Problem
my money situation has been really stressful recently. 100 bills and $5 in the account.,Yes,Financial Problem
"my money, my job, everything i guess.",Yes,Financial Problem
my mother and sister got into a fight and are no longer speaking.,Yes,Family Issues
my mother in law is annoying me so much,Yes,Family Issues
my mother in law owes me money and i am not sure what to do,Yes,Financial Problem
my mother in laws is a fake bitch.. i have to be the bigger person!,Yes,Family Issues
"my mother still tries to tell me what to do, even though i'm an adult.",Yes,Family Issues
"my mother treats me like i'm 12, except when it suits her needs",Yes,Family Issues
"my move on wednesday, thanks for asking. you?",Yes,Everyday Decision Making
My nagging girlfriend who is insecure with herslef.,Yes,Family Issues
My neighbor is having trouble with their neighbor below them and its upsetting.,Yes,Social Relationships
my new boss at work is very power hungry.  it's gotten very bad.,Yes,Work
my new job has been stressing me out but i know that it takes time to learn it.,Yes,Emotional Turmoil
my new job.,Yes,Work
my new weight gain,Yes,"Health, Fatigue, or Physical Pain"
"my new, used car has been costing me a lot of money.",Yes,Financial Problem
my niece leaving family home uninhabitable,Yes,Family Issues
my oldest son has been having serious issues at school almost every day.,Yes,Work
My parents are old and I'm unsure if the coronavirus will happen to them,Yes,Emotional Turmoil
My parents contracting Covid-19,Yes,"Health, Fatigue, or Physical Pain"
my parents' health has been stressful for them and me.,Yes,Family Issues
My partner has been very dismissive towards my feelings lately.,Yes,Social Relationships
my partner smokes cigarettes and can't quit. i feel sad for him.,Yes,Family Issues
My partner was furloughed due to COVID 19.,Yes,Social Relationships
my physical pain and mental health symptoms lately.,Yes,"Health, Fatigue, or Physical Pain"
my position at work is changing... again!,Yes,Work
my post op to my knee.,Yes,Emotional Turmoil
my presentation that's coming up,Yes,Work
my productivity,Yes,Work
my project is due tomorrow and i'm not done yet.,Yes,School
my proposal deadline is tomorrow and no one is sending me their stuff,Yes,Work
my psycho ex boyfriend,Yes,Social Relationships
my quarantine,Yes,"Health, Fatigue, or Physical Pain"
my recent stress has come from school. i've been focusing on grades and homework.,Yes,School
my recent stressful situation i am tired of being broke,Yes,Financial Problem
my relationship and financial situation. thinking of how i will provide for my baby.,Yes,Family Issues
my relationship has been stressing me out.,Yes,Emotional Turmoil
my relationship is a problem.,Yes,Emotional Turmoil
my relationship is not going th way i wished it was,Yes,Emotional Turmoil
my relationship with a long term friend has changed drastically and idk how to fix it,Yes,Emotional Turmoil
My relationship with my best friend. I like him.,Yes,Emotional Turmoil
my relationship with my boyfriend.,Yes,Social Relationships
my relationship with my girlfriend and her family is really getting to me.,Yes,Social Relationships
my relationship with my husband is strained.,Yes,Family Issues
my relationship with my sister-in-law.,Yes,Family Issues
my relationship with one of my very dear friends has not been at its best,Yes,Emotional Turmoil
my relationship. he is always blaming me for everything and turning everything on me,Yes,Emotional Turmoil
"my rent was due a week ago, i have not work to earn money",Yes,Financial Problem
My restaurant is closed due to COVID so no work/money for me.,Yes,Financial Problem
my roommate,Yes,Emotional Turmoil
my roommate and my budget,Yes,Financial Problem
my roommate has been being more distant towards me and i'm not sure if he's mad at me.,Yes,Social Relationships
My roommate has really been annoying me lately.,Yes,Family Issues
my roommate is killing my budget for household items.,Yes,Financial Problem
my roommate wants to bring a fridge but there isn't room for it.,Yes,School
my school project,Yes,School
my school work has been the main thing stressing me out.,Yes,School
My school work. :(,Yes,School
My selfish co-worker is draining...,Yes,Work
my significant other resents the amount of time I am at work,Yes,Family Issues
"my sink is leaking. i don' t know what's wrong, i just replaced it",Yes,Other
my sinuses are really hurting again.,Yes,"Health, Fatigue, or Physical Pain"
my sister called and is threatening to come and visit.,Yes,Family Issues
My sister fell from a ladder and fractured her hip.  The hospital can't do anything;,Yes,Family Issues
my sister is leaving for trucking school and i am going to be taking care of her 6 kids,Yes,Family Issues
my sister is on my ass,Yes,Family Issues
My sister works in a hospital and I worry she may get coronavirus,Yes,Family Issues
my sister-in-law has been diagnosed with ovarian cancer,Yes,Family Issues
my sister's dog has fleas and my husband is having a conniption about it.,Yes,Emotional Turmoil
my skin has been breaking out and i need a regimen that will clear it up.,Yes,"Health, Fatigue, or Physical Pain"
my sleep patterns due to midnight shifts at work.,Yes,"Health, Fatigue, or Physical Pain"
my sleep schedule has been getting worse and worse.,Yes,"Health, Fatigue, or Physical Pain"
my sleep scheldule is kinda messed up,Yes,"Health, Fatigue, or Physical Pain"
my sleep. i've had terrible insomnia for months and its wearing me down.,Yes,"Health, Fatigue, or Physical Pain"
my son,No,Family Issues
my son and sleep,Yes,"Health, Fatigue, or Physical Pain"
my son challenging every thing he is ordered to do,Yes,Emotional Turmoil
my son failed his hearing test. showed hearing loss in both ear. maybe tubes again,Yes,Family Issues
my son has been acting out and having aggressive behaviors,Yes,Emotional Turmoil
my son is failing science class,Yes,Family Issues
my son is getting ready to graduate and we're trying to get him college scholarships.,Yes,School
my son is giving me so much trouble at the moment- i feel awful,Yes,Family Issues
my son is not getting used with doing homework and i have to spend all afternoon on that,Yes,Emotional Turmoil
my son moving into an apartment in this area.,Yes,Family Issues
my son stresses me out in the morning-he refuses to concentrate on getting ready and fre,Yes,Family Issues
my son will not listen today.,Yes,Family Issues
my sourdough starter isn't passing the float test. so i can't make bread with it yet.,No,Emotional Turmoil
my spouse had to have a biopsy done.,Yes,Emotional Turmoil
my sprained ankle is still bothering me.,Yes,"Health, Fatigue, or Physical Pain"
my step kids show absolutely no respect,Yes,Family Issues
"my stepduaghter is pregnant and she only told me, not her mom and dad!",Yes,Family Issues
my stomach has been hurting and has recently gotten worse.,Yes,"Health, Fatigue, or Physical Pain"
my stomach hurts,Yes,"Health, Fatigue, or Physical Pain"
My Stress about people affected by COVID-19,Yes,Emotional Turmoil
my stress timing is loss of many things.,Yes,Work
my stress timing is very loss many things.,Yes,Work
my stress timing is very loss of all many things.,Yes,Work
my stress timing is very loss of many things.,Yes,Work
my studies have been bringing me down with too much homework,Yes,Work
my study is to leave strees of that time,Yes,School
my superiors at work are taking advantage of me,Yes,Work
my supervisor currently pushes me a lot to turn in reports,Yes,Work
My team at work lately has been doing whatever they want to do,Yes,Work
my truck broke down last week and i didn't have the money to buy the parts for repair,Yes,Financial Problem
my truck has broken down and im not sure whats wrong with it.,Yes,Financial Problem
my truck won't start,Yes,Work
my uncle died and i'm worried my aunt will get super depressed without him,Yes,Family Issues
my uncle is really sick,Yes,Family Issues
My uncle yelled at me.,Yes,Family Issues
my upcoming exam in accounting,Yes,School
my upcoming trip to denver got cancelled and my govball tickets were cancelled!,Yes,Other
my vacation is coming up in two weeks and i have no money saved for it.,Yes,Financial Problem
my wash machine broke. another one is $499.,Yes,Financial Problem
my water line to my toilet froze up during this cold spell.,Yes,Other
my week was so stressful  because of having financial problems.,Yes,Financial Problem
my weight gain has been stressing me out.,Yes,"Health, Fatigue, or Physical Pain"
my whole family has been battling the flu and strep.,Yes,"Health, Fatigue, or Physical Pain"
My wife has been hiding something from me and I don't know what it is.,Yes,Family Issues
my wife just quit her job.,Yes,Financial Problem
my wife keeps bugging me.,Yes,Family Issues
my wife left me for a younger man.,Yes,Family Issues
my work and this virus going around,Yes,"Health, Fatigue, or Physical Pain"
my work has been doing some upgrading.,Yes,Work
my work has been stressing me lately my friend. the current project is really demanding.,Yes,Work
my work is very stressful in office. do not concentration with any other work.,Yes,Family Issues
my work schedule at the office has been so hectic this days.,Yes,Work
my work schedule has been brutal.,Yes,Work
"my work schedule has been stressing me out lately, there is no work life balance.",Yes,Work
my work schedule has changed due to the coronavirus and it is hard,Yes,Work
my work situation,Yes,Work
"my work, i feel disrespected, and under valued, and have been treated unappreciated.",Yes,Work
my work/life balance aren't in line with each other,Yes,"Health, Fatigue, or Physical Pain"
my workload and my personal wellness or hobbies just don't work out!,Yes,Work
my workload is just too much for me to handle.,Yes,Work
My workplace is no longer safe as they cannot provide the proper PPE,Yes,Work
needing to have my boyfriend to be more productive overall.,Yes,Emotional Turmoil
needing to move from my current living situation.,Yes,Other
Neighbors not sheltering in place,Yes,Emotional Turmoil
nervous about new staff member starting,Yes,Work
nervous about work,Yes,Work
new day,No,Other
new job and learning the ropes,Yes,Work
new job opportunity,No,Work
no,No,Other
"no money, been cold, christmas coming",Yes,Financial Problem
"no money, deadlines, life is kinda collapsing",Yes,Other
No money. No job. No worries.,Yes,Financial Problem
no one qualifying to give me a kidney,Yes,"Health, Fatigue, or Physical Pain"
no problem,No,Other
No toilet paper on the shelves at Walmart.,Yes,Other
no yet,No,Emotional Turmoil
"No, not really important stuff...Just having a hard time finding toilet paper.",Yes,Other
nobody seems to know how to refil the toilet paper,Yes,Family Issues
"noisy, disrespectful, rude tenants",Yes,Emotional Turmoil
not able to sleep,Yes,"Health, Fatigue, or Physical Pain"
"not allowed to stress you out, but can you, like, try?but i try to modify myself",No,Emotional Turmoil
Not being able to be in school to teach kids,Yes,Work
Not being able to go outside,Yes,Everyday Decision Making
Not being able to go to work,Yes,Work
Not being able to leave my house due to the Corona Virus,Yes,Everyday Decision Making
Not being able to make money right now.,Yes,Financial Problem
not being able to make up my mind what to cook,Yes,Everyday Decision Making
Not being able to provide for my grandmother,Yes,Other
not being able to relax fully. my mind wonders alot.,Yes,Emotional Turmoil
not being able to save money from my paycheck,Yes,Financial Problem
not being able to say no when i need to.,Yes,Everyday Decision Making
Not being able to see my family.,Yes,Other
not being able to see my niece and nephew,Yes,Social Relationships
not being able to take a long vacation.,Yes,"Health, Fatigue, or Physical Pain"
not being able to work at all has me stressed out.,Yes,Emotional Turmoil
Not being able to work because of COVID_19.,Yes,Work
Not being able to work because of the coronavirus,Yes,Work
not being creative at all.,Yes,Financial Problem
Not being prepared for the unknown.  Wish had more back up supplies and day to day neces,Yes,Everyday Decision Making
not enough hours at work so not enough money to pay the bills.,Yes,Financial Problem
not enough money for the bills i have to pay!,Yes,Financial Problem
not enough money to pay the rent,Yes,Financial Problem
not feeling good,Yes,"Health, Fatigue, or Physical Pain"
not feeling well,Yes,Everyday Decision Making
not getting a promotion at work,Yes,Work
not getting enough sleep is really bothering me,Yes,"Health, Fatigue, or Physical Pain"
not getting into grad school.,Yes,School
Not happy about having to stay home in semi isolation,Yes,Other
not haveing enought too pay every day bills only 905 rent is 860 a month i pay ultuties,Yes,Financial Problem
not having a good paid job.,Yes,Financial Problem
not having a good volume of work to keep me busy and financially stable.,Yes,Financial Problem
not having a job,Yes,"Health, Fatigue, or Physical Pain"
"not having a job sometimes stresses me out, but i know i can get one.",Yes,Work
not having enough money to give my wife the things she wants.,Yes,Financial Problem
not having enough money to make ends meet,Yes,Financial Problem
not having enough money to pay my bills.,Yes,Financial Problem
"not having enough money to save, eat, and necessities.",Yes,Financial Problem
not having enough staff to complete the job and therefore no money coming in.,Yes,Work
not having enough time in my day to get everything done and just being forgetful.,Yes,Everyday Decision Making
not having enough time in the day,Yes,"Health, Fatigue, or Physical Pain"
not having time to train my staff.,Yes,Work
not hearing from ace,Yes,Social Relationships
Not knowing for sure if I will have enough food during a possible quarantine,Yes,Other
Not knowing how COVID-19 will affect my job/pay,Yes,Work
Not knowing if my job is secure.,Yes,Work
not knowing what i want to do with my life.,Yes,Emotional Turmoil
not knowing where i am going to live with a lease end approaching!,Yes,Emotional Turmoil
Not knowing whether or not my husband will lose his job due to COVID-19.,Yes,Financial Problem
Not knowing who will be next to get the COVID-19 virus.,Yes,"Health, Fatigue, or Physical Pain"
"not landing a job after 300 appied, unreal really",Yes,Work
not making enough money,Yes,Financial Problem
Not making enough money at work.,Yes,Work
not making the cut for the a police academy,Yes,Work
not much some i'm on vacation,No,Work
"not much, i'm doing pretty great right now",No,Work
"not much, just work has been busy! but, other than that i've been good!",No,Work
not too much,No,Other
Not too much stresses me out my friend. However there is no sanitizer at the stores.,No,Other
not understanding these instructions.,Yes,Other
Not working because of COVID19,Yes,Work
nothing,No,Other
nothing is stressing me out,No,Other
nothing major just a small hiccup in my plans to bake...ran out of eggs,No,Everyday Decision Making
nothing much,No,Other
"nothing much, just work. it has been really busy lately.",Yes,Work
nothing really,No,Other
nothing really - just wanted to say hello,No,Other
"Nothing serious, we should have lunch soon to talk?",No,Other
nothing to do at work,Yes,Work
nothing!,No,Other
nothing! i'm having a good time right now,No,Other
nothing. just ordinary life,No,"Health, Fatigue, or Physical Pain"
now a  days working tension has been increased and get more tensioned,Yes,Work
"Now that school is closed because of Coronavirus, I have to do online class!",No,School
o have a lot on my plate right now with work and school,Yes,Work
"oh boy, where to start! i guess my biggest stressor is my boss.",Yes,Work
"oh ive been stressed out recently with my job, i dont feel like i am moving forward.",Yes,Work
oh just some stuff,Yes,Work
"oh man, im okay just been dealinth with some things going on",Yes,Family Issues
"Oh my god where do I begin I am STRESS, COVID, WHETHER OR NOT WERE GOING TO LIVE",Yes,Emotional Turmoil
oh my goodness friend i want to make dinner! i i want a sadwhich but im out of bread!!!,Yes,Other
oh my goodness where do i start? my teenagers have been stressing me out to the max,Yes,Emotional Turmoil
"oh my gosh! everything. the washer broke, the dog peed on the bed, and johnie is puking.",Yes,Family Issues
oh my gosh! i have been drowning in school work.,Yes,School
oh not much. just miss my ex a lot more than i thought,Yes,Social Relationships
Oh the whole Corona Virus stuff,Yes,"Health, Fatigue, or Physical Pain"
oh where to begin?,Yes,Other
"oh you know, my roommate flooded the kitchen again.  it's the 10th time this week!",Yes,Financial Problem
"oh, you know, life crap. nothing new, always something stressing me out.",Yes,"Health, Fatigue, or Physical Pain"
"oh,the same stuff. life stuff..money, house, family and my health. the usual lol",Yes,Emotional Turmoil
ohh man work is just killing me today,Yes,Work
"Ohhh you know, just the impending doom of existential dread and uncertainty in the world",Yes,Other
omg i am stressing! work is i cant get cought up on my work!!,Yes,Work
"Omg it's the damn Covid-19, I basically have no job and very little money :(",Yes,Financial Problem
omg my home life is so stressful. its like walking on pins and needles. constant arguing,Yes,Family Issues
OMG this corona virus thing has me stressing because now I can't work and am not getting,Yes,Other
omg this new job is stressing me out,Yes,Work
"omg this shit sucks, my brain is ready to explode.",Yes,Work
"omg, my kitchen is on fire",Yes,Family Issues
omg. i'm so stressed by work.,Yes,Work
omg... what isnt.,Yes,Family Issues
one of my dogs is sick,Yes,Emotional Turmoil
one of my textbooks may not deliver on time for class.,Yes,School
one of my workers had been slacking off.,Yes,Work
Online school work has been stressing me out quite a bit.,Yes,School
other half's COPD is worsening,Yes,Emotional Turmoil
Our family is quarantined due to the COVID-19.,Yes,Emotional Turmoil
Our finances during this pandemic,Yes,Financial Problem
our financial situation,Yes,Financial Problem
our house is too small for our family,Yes,Financial Problem
"Our house needs so many repairs, I don't know where to begin!",Yes,Other
our president is sick and he needs to be removed from office,Yes,Other
our toilet overflowed and water poured down to the first floor!,Yes,Financial Problem
overtime at work!,Yes,Work
owe more money than i have. autopay is the worst thing ever to utilize.,Yes,Financial Problem
"P has to work suring this virus, and it's scary.",Yes,"Health, Fatigue, or Physical Pain"
packing for my trips,Yes,Work
packing up everything to move out,Yes,Work
pandemic is scary,Yes,"Health, Fatigue, or Physical Pain"
parenting is so stressful! i hate being the bad guy and giving time outs!,Yes,Family Issues
past few days my business is kind of slow. don't know what to do.need your advice.,Yes,Financial Problem
"Past relationship, work, and pandemic crisis",Yes,Social Relationships
Paying bills,Yes,Financial Problem
paying bills on time,Yes,Financial Problem
paying for christmas presents.,Yes,Financial Problem
paying for the wedding.,Yes,Financial Problem
paying my mortgage cause im way behind,Yes,Financial Problem
paying off my debts,Yes,Financial Problem
paying off this debt,Yes,Financial Problem
People are polluting my life with their goofy garbage.,Yes,Everyday Decision Making
people ask so much of me and i have no time for myself.,Yes,"Health, Fatigue, or Physical Pain"
people asking for the time,Yes,Work
people at work are so rude,Yes,Work
people at work have been using fowl language.,No,Work
People not taking this pandemic seriously.,Yes,"Health, Fatigue, or Physical Pain"
People panic buying certain items so that others don't have them.,Yes,Everyday Decision Making
physical problems,Yes,"Health, Fatigue, or Physical Pain"
physics class. i just don't see why i need to know this stuff.,Yes,School
planning a meal,Yes,Everyday Decision Making
planning and decide on a common location for our friends group for a lunch or dinner.,No,Work
planning financially for my internship next year,Yes,Financial Problem
planning menus for two different dinner parties in one weekend,Yes,Everyday Decision Making
please arrange a party to reduce my stress,Yes,Emotional Turmoil
politics,Yes,Other
poor sleep even if i go to bed on time,Yes,"Health, Fatigue, or Physical Pain"
possibly being short of money,Yes,Financial Problem
possibly getting a divorce,Yes,Family Issues
potentially not being able to afford my apartment once my healthcare kicks in,Yes,Financial Problem
